"plate_well","plate","well","identifier","hit","welltype","create_date","fp","fp_1","fi","fi_1","p","p_1","s","s_1"
"1799P16","1799","P16","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P16","0","X","2015-08-31 19:12","219.4","230.8","51504838.0","51711317.0","22272766.0","22289008.0","6959306.0","7133301.0"
"1799P15","1799","P15","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P15","0","X","2015-08-31 19:12","257.5","263.5","48517649.0","47965989.0","20745491.0","20470825.0","7026667.0","7024339.0"
"1799P14","1799","P14","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P14","0","X","2015-08-31 19:12","267.2","267.2","47905015.0","47807358.0","20420904.0","20379744.0","7063207.0","7047870.0"
"1799P13","1799","P13","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P13","0","X","2015-08-31 19:12","269.8","270.6","47563983.0","47054006.0","20258811.0","20036797.0","7046361.0","6980412.0"
"1799P12","1799","P12","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P12","0","X","2015-08-31 19:12","269.5","270.6","46566590.0","46498694.0","19836087.0","19800342.0","6894416.0","6898010.0"
"1799P11","1799","P11","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P11","0","X","2015-08-31 19:12","260.6","256.3","50898428.0","50867426.0","21742507.0","21758313.0","7413414.0","7350800.0"
"1799P10","1799","P10","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P10","0","X","2015-08-31 19:12","268.7","268.5","47866297.0","47626926.0","20394688.0","20293916.0","7076921.0","7039094.0"
"1799P09","1799","P09","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P09","0","X","2015-08-31 19:12","265.1","268.2","47661512.0","47856279.0","20330904.0","20393988.0","6999704.0","7068303.0"
"1799P08","1799","P08","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P08","0","X","2015-08-31 19:12","270.2","266.7","47375445.0","47121830.0","20176071.0","20090720.0","7023303.0","6940390.0"
"1799P07","1799","P07","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P07","0","X","2015-08-31 19:12","266.0","264.7","47647593.0","47596832.0","20318853.0","20306092.0","7009887.0","6984648.0"
"1799P06","1799","P06","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P06","0","X","2015-08-31 19:12","275.5","266.4","46737742.0","47446257.0","19870642.0","20230938.0","6996458.0","6984381.0"
"1799P05","1799","P05","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P05","0","X","2015-08-31 19:12","267.3","268.9","46936413.0","46796000.0","20007497.0","19937449.0","6921419.0","6921102.0"
"1799P04","1799","P04","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P04","0","X","2015-08-31 19:12","268.5","273.5","47140765.0","46963624.0","20087290.0","19979674.0","6966185.0","7004276.0"
"1799P03","1799","P03","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P03","0","X","2015-08-31 19:12","261.9","259.1","43598450.0","42565788.0","18616199.0","18191545.0","6366052.0","6182698.0"
"1799P02","1799","P02","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P02","0","X","2015-08-31 19:12","257.0","231.2","55908203.0","59674995.0","23909133.0","25718597.0","8089937.0","8237801.0"
"1799P01","1799","P01","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799P01","0","X","2015-08-31 19:12","667.7","667.7","174231244.0","174354258.0","58002356.0","58042927.0","58226532.0","58268404.0"
"1799O24","1799","O24","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O24","0","N","2015-08-31 19:12","263.1","256.4","46227218.0","46639117.0","19731500.0","19948975.0","6764218.0","6741167.0"
"1799O22","1799","O22","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O22","0","X","2015-08-31 19:12","270.4","269.2","47748385.0","47737813.0","20333735.0","20336853.0","7080915.0","7064107.0"
"1799O21","1799","O21","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799O21","0","X","2015-08-31 19:12","271.3","269.1","47017944.0","47086054.0","20017078.0","20059778.0","6983788.0","6966498.0"
